Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
1/23/2017,MIA,L 102-105,37,7,19,3,9,4,5,9,8,1,0,2,4,21,REGULAR SEASON STATS,L,102,105
1/25/2017,CHA,W 113-103,36,11,23,6,12,0,0,2,7,1,1,2,4,28,REGULAR SEASON STATS,W,113,103
1/28/2017,LAC,W 144-98,29,15,23,9,15,4,4,9,6,0,0,1,2,43,REGULAR SEASON STATS,W,144,98
1/29/2017,POR,W 113-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,113,111
2/1/2017,CHA,W 126-111,30,14,20,11,15,0,0,5,8,0,3,2,1,39,REGULAR SEASON STATS,W,126,111
2/2/2017,LAC,W 133-120,37,11,23,3,10,4,4,3,11,0,3,1,4,29,REGULAR SEASON STATS,W,133,120
2/4/2017,SAC,L 106-109,42,11,20,8,14,5,6,4,9,0,3,2,3,35,REGULAR SEASON STATS,L,106,109
2/8/2017,CHI,W 123-92,28,5,11,1,4,2,2,1,6,0,1,4,2,13,REGULAR SEASON STATS,W,123,92
2/10/2017,MEM,W 122-107,35,6,13,2,6,4,5,4,5,0,0,3,3,18,REGULAR SEASON STATS,W,122,107
2/11/2017,OKC,W 130-114,34,9,19,4,11,4,4,8,9,0,2,2,0,26,REGULAR SEASON STATS,W,130,114
2/13/2017,DEN,L 110-132,27,4,18,1,11,2,2,2,5,0,1,1,1,11,REGULAR SEASON STATS,L,110,132
2/15/2017,SAC,W 109-86,30,4,14,2,8,3,4,6,9,2,0,2,3,13,REGULAR SEASON STATS,W,109,86
2/19/2017,EAST,W 192-182,28,8,16,5,11,0,0,4,6,0,1,3,0,21,REGULAR SEASON STATS,W,192,182
2/23/2017,LAC,W 123-113,32,10,16,6,10,9,10,7,5,0,4,5,4,35,REGULAR SEASON STATS,W,123,113
2/25/2017,BKN,W 112-95,35,9,21,5,10,4,4,5,5,0,3,2,4,27,REGULAR SEASON STATS,W,112,95
2/27/2017,PHI,W 119-108,35,7,23,0,11,5,5,4,6,0,2,2,4,19,REGULAR SEASON STATS,W,119,108
2/28/2017,WSH,L 108-112,34,9,20,2,9,5,6,7,4,0,2,3,5,25,REGULAR SEASON STATS,L,108,112
3/2/2017,CHI,L 87-94,35,10,27,2,11,1,1,6,5,0,5,4,4,23,REGULAR SEASON STATS,L,87,94
3/5/2017,NY,W 112-105,37,11,24,5,13,4,6,8,6,0,2,2,2,31,REGULAR SEASON STATS,W,112,105
3/6/2017,ATL,W 119-111,35,8,20,6,15,2,3,4,9,0,0,4,2,24,REGULAR SEASON STATS,W,119,111
3/8/2017,BOS,L 86-99,35,8,16,2,9,5,5,5,6,1,0,4,4,23,REGULAR SEASON STATS,L,86,99
3/10/2017,MIN,L 102-103,35,10,27,1,8,5,5,6,7,0,1,4,6,26,REGULAR SEASON STATS,L,102,103
3/11/2017,SA,L 85-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,85,107
3/14/2017,PHI,W 106-104,37,8,23,5,13,8,8,6,5,0,3,3,5,29,REGULAR SEASON STATS,W,106,104
3/16/2017,ORL,W 122-92,28,8,15,2,7,7,7,1,9,0,3,1,2,25,REGULAR SEASON STATS,W,122,92
3/18/2017,MIL,W 117-92,30,9,13,6,8,4,4,4,4,1,1,3,3,28,REGULAR SEASON STATS,W,117,92
3/20/2017,OKC,W 111-95,30,8,17,7,12,0,0,4,6,0,0,3,5,23,REGULAR SEASON STATS,W,111,95
3/21/2017,DAL,W 112-87,30,7,14,3,9,0,0,5,9,0,2,1,0,17,REGULAR SEASON STATS,W,112,87
3/24/2017,SAC,W 114-100,33,9,18,5,11,4,4,7,12,0,6,0,3,27,REGULAR SEASON STATS,W,114,100
3/26/2017,MEM,W 106-94,36,8,18,5,12,0,0,1,11,0,4,1,5,21,REGULAR SEASON STATS,W,106,94
3/28/2017,HOU,W 113-106,33,11,22,3,11,7,10,10,7,0,2,5,6,32,REGULAR SEASON STATS,W,113,106
3/29/2017,SA,W 110-98,35,9,20,4,8,7,7,4,11,0,1,5,2,29,REGULAR SEASON STATS,W,110,98
3/31/2017,HOU,W 107-98,35,8,18,4,9,4,5,7,5,0,2,4,2,24,REGULAR SEASON STATS,W,107,98
4/2/2017,WSH,W 139-115,36,15,22,9,14,3,3,1,8,0,1,3,1,42,REGULAR SEASON STATS,W,139,115
4/4/2017,MIN,W 121-107,30,7,18,3,8,2,4,3,9,2,3,2,3,19,REGULAR SEASON STATS,W,121,107
4/5/2017,PHX,W 120-111,35,15,25,8,12,4,7,4,11,2,2,0,3,42,REGULAR SEASON STATS,W,120,111
4/8/2017,NO,W 123-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,123,101
4/10/2017,UTAH,L 99-105,30,9,16,6,8,4,5,4,4,0,1,1,1,28,REGULAR SEASON STATS,L,99,105
4/12/2017,LAL,W 109-94,28,6,17,5,14,3,4,5,8,0,2,1,5,20,REGULAR SEASON STATS,W,109,94
4/16/2017,POR,W 121-109,36,9,19,3,8,8,8,5,4,1,1,5,5,29,Conference Quarterfinals,W,121,109
4/19/2017,POR,W 110-81,31,6,18,4,12,3,5,5,6,1,4,1,4,19,Conference Quarterfinals,W,110,81
4/22/2017,POR,W 119-113,39,10,25,5,14,9,10,4,8,1,2,1,1,34,Conference Quarterfinals,W,119,113
4/24/2017,POR,W 128-103,30,12,20,7,11,6,7,7,8,0,1,0,4,37,Conference Quarterfinals,W,128,103
5/2/2017,UTAH,W 106-94,30,7,11,1,4,7,7,7,5,0,1,1,4,22,Conference Semifinals,W,106,94
5/4/2017,UTAH,W 115-104,38,8,15,5,8,2,2,4,6,0,2,3,3,23,Conference Semifinals,W,115,104
5/6/2017,UTAH,W 102-91,37,6,20,3,11,8,9,5,4,0,0,2,0,23,Conference Semifinals,W,102,91
5/8/2017,UTAH,W 121-95,35,9,15,4,10,8,8,5,7,1,0,2,2,30,Conference Semifinals,W,121,95
5/14/2017,SA,W 113-111,39,14,26,7,16,5,7,7,3,0,3,0,3,40,Conference Finals,W,113,111
5/16/2017,SA,W 136-100,31,8,13,6,9,7,7,7,7,0,3,3,2,29,Conference Finals,W,136,100
5/20/2017,SA,W 120-108,34,8,15,3,7,2,2,5,3,0,6,3,5,21,Conference Finals,W,120,108
5/22/2017,SA,W 129-115,34,14,24,5,13,3,3,5,6,0,0,2,6,36,Conference Finals,W,129,115
6/1/2017,CLE,W 113-91,34,11,22,6,11,0,0,6,10,0,3,3,2,28,NBA Finals,W,113,91
6/4/2017,CLE,W 132-113,36,7,17,4,11,14,14,10,11,0,1,3,8,32,NBA Finals,W,132,113
6/7/2017,CLE,W 118-113,39,8,19,5,9,5,5,13,6,0,2,3,1,26,NBA Finals,W,118,113
6/9/2017,CLE,L 116-137,38,4,13,2,9,4,5,5,10,0,2,2,4,14,NBA Finals,L,116,137
6/12/2017,CLE,W 129-120,41,10,20,2,9,12,15,6,10,0,3,3,4,34,NBA Finals,W,129,120
9/30/2017,DEN,L 102-108,24,3,12,1,7,4,4,4,2,0,1,0,1,11,,L,102,108
10/5/2017,MIN,L 97-111,24,5,9,3,6,1,2,6,4,1,0,5,3,14,,L,97,111
10/8/2017,MIN,W 142-110,31,13,20,6,9,8,9,6,8,0,3,3,1,40,,W,142,110
10/13/2017,SAC,W 117-106,19,6,12,4,6,2,2,3,3,0,1,0,1,18,,W,117,106
10/17/2017,HOU,L 121-122,30,8,18,3,9,3,3,5,4,0,1,4,2,22,REGULAR SEASON STATS,L,121,122
10/20/2017,NO,W 128-120,35,7,16,4,11,10,10,3,8,0,0,1,1,28,REGULAR SEASON STATS,W,128,120
10/21/2017,MEM,L 101-111,30,9,17,6,11,13,13,6,3,0,0,5,2,37,REGULAR SEASON STATS,L,101,111
10/23/2017,DAL,W 133-103,31,7,15,2,10,13,13,2,8,0,4,1,6,29,REGULAR SEASON STATS,W,133,103
10/25/2017,TOR,W 117-112,38,9,20,4,11,8,8,4,5,1,3,2,2,30,REGULAR SEASON STATS,W,117,112
10/27/2017,WSH,W 120-117,36,7,19,3,13,3,3,5,8,0,2,2,2,20,REGULAR SEASON STATS,W,120,117
10/29/2017,DET,L 107-115,35,11,17,3,7,2,3,6,8,0,1,3,5,27,REGULAR SEASON STATS,L,107,115
10/30/2017,LAC,W 141-113,30,9,14,7,11,6,8,5,6,1,2,3,1,31,REGULAR SEASON STATS,W,141,113
11/2/2017,SA,W 112-92,32,7,13,3,4,4,4,8,5,0,3,2,2,21,REGULAR SEASON STATS,W,112,92
11/4/2017,DEN,W 127-108,30,7,14,5,10,3,4,0,11,0,2,0,3,22,REGULAR SEASON STATS,W,127,108
11/6/2017,MIA,W 97-80,34,5,19,2,9,4,5,5,4,0,2,3,1,16,REGULAR SEASON STATS,W,97,80
11/8/2017,MIN,W 125-101,30,7,16,2,7,6,6,8,8,1,2,2,5,22,REGULAR SEASON STATS,W,125,101
11/11/2017,PHI,W 135-114,30,5,12,3,8,9,9,4,9,0,1,0,2,22,REGULAR SEASON STATS,W,135,114
11/13/2017,ORL,W 110-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,110,100
11/16/2017,BOS,L 88-92,31,3,14,2,9,1,2,6,5,0,4,5,4,9,REGULAR SEASON STATS,L,88,92
11/18/2017,PHI,W 124-116,35,11,22,4,9,9,9,5,5,1,0,1,2,35,REGULAR SEASON STATS,W,124,116
11/19/2017,BKN,W 118-111,33,14,24,4,10,7,8,11,7,0,3,6,7,39,REGULAR SEASON STATS,W,118,111
11/22/2017,OKC,L 91-108,31,9,18,3,8,3,3,5,6,0,1,1,6,24,REGULAR SEASON STATS,L,91,108
11/24/2017,CHI,W 143-94,27,10,18,4,11,9,9,7,4,0,2,2,2,33,REGULAR SEASON STATS,W,143,94
11/25/2017,NO,W 110-95,36,9,25,3,13,6,6,4,6,0,1,2,1,27,REGULAR SEASON STATS,W,110,95
11/27/2017,SAC,L 106-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,106,110
11/29/2017,LAL,W 127-123,39,9,20,3,9,7,8,5,7,0,0,4,5,28,REGULAR SEASON STATS,W,127,123
12/1/2017,ORL,W 133-112,33,9,20,3,8,2,2,6,10,0,3,2,4,23,REGULAR SEASON STATS,W,133,112
12/3/2017,MIA,W 123-95,30,11,16,5,9,3,4,2,3,0,2,1,0,30,REGULAR SEASON STATS,W,123,95
12/4/2017,NO,W 125-115,34,9,19,5,11,8,9,5,11,0,1,5,2,31,REGULAR SEASON STATS,W,125,115
12/6/2017,CHA,W 101-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,101,87
12/8/2017,DET,W 102-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,102,98
12/11/2017,POR,W 111-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,111,104
12/14/2017,DAL,W 112-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,112,97
12/18/2017,LAL,W 116-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,116,114
12/20/2017,MEM,W 97-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,97,84
12/22/2017,LAL,W 113-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,113,106
12/23/2017,DEN,L 81-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,81,96
12/25/2017,CLE,W 99-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,99,92
12/27/2017,UTAH,W 126-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,126,101
12/29/2017,CHA,L 100-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,100,111
12/30/2017,MEM,W 141-128,26,13,17,10,13,2,2,4,3,0,0,2,0,38,REGULAR SEASON STATS,W,141,128
1/3/2018,DAL,W 125-122,34,11,19,6,13,4,5,5,8,0,1,1,3,32,REGULAR SEASON STATS,W,125,122
1/4/2018,HOU,W 124-114,37,10,20,4,10,5,6,9,5,0,1,3,3,29,REGULAR SEASON STATS,W,124,114
1/6/2018,LAC,W 121-105,30,11,21,8,16,15,16,6,3,0,3,2,2,45,REGULAR SEASON STATS,W,121,105
1/8/2018,DEN,W 124-114,35,9,17,5,10,9,10,4,9,0,2,3,6,32,REGULAR SEASON STATS,W,124,114
1/10/2018,LAC,L 106-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,106,125
1/12/2018,MIL,W 108-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,108,94
1/13/2018,TOR,W 127-125,34,6,12,2,7,10,12,6,9,0,1,3,1,24,REGULAR SEASON STATS,W,127,125
1/15/2018,CLE,W 118-108,33,8,15,4,8,3,4,4,8,0,2,3,3,23,REGULAR SEASON STATS,W,118,108
1/17/2018,CHI,W 119-112,35,10,18,6,11,4,4,9,4,0,1,2,6,30,REGULAR SEASON STATS,W,119,112
1/20/2018,HOU,L 108-116,36,6,20,5,15,2,4,1,8,0,2,2,6,19,REGULAR SEASON STATS,L,108,116
1/23/2018,NY,W 123-112,33,9,19,8,15,6,6,6,7,0,0,2,1,32,REGULAR SEASON STATS,W,123,112
1/25/2018,MIN,W 126-113,37,9,14,5,9,2,3,5,9,0,3,2,2,25,REGULAR SEASON STATS,W,126,113
1/27/2018,BOS,W 109-105,37,16,24,8,13,9,10,4,5,0,2,2,1,49,REGULAR SEASON STATS,W,109,105
1/30/2018,UTAH,L 99-129,30,4,13,1,7,5,5,2,5,0,0,1,3,14,REGULAR SEASON STATS,L,99,129
2/2/2018,SAC,W 119-104,36,7,17,3,10,6,6,5,6,0,2,3,6,23,REGULAR SEASON STATS,W,119,104
2/3/2018,DEN,L 108-115,36,8,16,5,12,3,4,6,4,0,2,2,5,24,REGULAR SEASON STATS,L,108,115
2/6/2018,OKC,L 105-125,32,6,14,2,9,7,7,5,5,1,1,3,3,21,REGULAR SEASON STATS,L,105,125
2/8/2018,DAL,W 121-103,30,7,12,4,9,2,2,7,8,0,0,1,4,20,REGULAR SEASON STATS,W,121,103
2/10/2018,SA,W 122-105,29,7,13,3,7,0,0,4,8,0,2,0,2,17,REGULAR SEASON STATS,W,122,105
2/12/2018,PHX,W 129-83,30,8,17,3,9,3,3,9,7,1,0,3,3,22,REGULAR SEASON STATS,W,129,83
2/14/2018,POR,L 117-123,34,6,17,3,10,2,2,4,6,0,3,4,7,17,REGULAR SEASON STATS,L,117,123
2/18/2018,LEB,L 145-148,27,4,14,3,11,0,0,6,5,0,1,0,6,11,REGULAR SEASON STATS,L,145,148
2/22/2018,LAC,W 134-127,37,14,19,8,11,8,8,6,10,0,2,4,4,44,REGULAR SEASON STATS,W,134,127
2/24/2018,OKC,W 112-80,30,8,19,5,12,0,0,9,6,0,3,2,2,21,REGULAR SEASON STATS,W,112,80
2/26/2018,NY,W 125-111,30,8,16,4,9,1,1,5,5,0,0,1,3,21,REGULAR SEASON STATS,W,125,111
2/28/2018,WSH,W 109-101,35,5,15,4,9,11,12,5,3,0,2,3,6,25,REGULAR SEASON STATS,W,109,101
3/2/2018,ATL,W 114-109,24,8,15,4,9,8,8,1,3,0,2,0,0,28,REGULAR SEASON STATS,W,114,109
3/6/2018,BKN,W 114-101,34,12,20,6,12,4,5,6,4,1,3,2,3,34,REGULAR SEASON STATS,W,114,101
3/8/2018,SA,W 110-107,2,0,1,0,0,2,2,0,0,0,0,0,0,2,REGULAR SEASON STATS,W,110,107
3/9/2018,POR,L 108-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,108,125
3/11/2018,MIN,L 103-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,103,109
3/14/2018,LAL,W 117-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,117,106
3/16/2018,SAC,L 93-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,93,98
3/17/2018,PHX,W 124-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,124,109
3/19/2018,SA,L 75-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,75,89
3/23/2018,ATL,W 106-94,25,10,18,3,8,6,6,7,1,1,0,1,1,29,REGULAR SEASON STATS,W,106,94
3/25/2018,UTAH,L 91-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,91,110
3/27/2018,IND,L 81-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,81,92
3/29/2018,MIL,L 107-116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,107,116
3/31/2018,SAC,W 112-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,112,96
4/1/2018,PHX,W 117-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,117,107
4/3/2018,OKC,W 111-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,111,107
4/5/2018,IND,L 106-126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,106,126
4/7/2018,NO,L 120-126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,120,126
4/8/2018,PHX,W 117-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,117,100
4/10/2018,UTAH,L 79-119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,79,119
4/14/2018,SA,W 113-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,113,92
4/16/2018,SA,W 116-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,116,101
4/19/2018,SA,W 110-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,110,97
4/22/2018,SA,L 90-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,L,90,103
4/24/2018,SA,W 99-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,99,91
4/28/2018,NO,W 123-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,W,123,101
5/1/2018,NO,W 121-116,27,8,15,5,10,7,7,7,2,0,3,2,6,28,Conference Semifinals,W,121,116
5/4/2018,NO,L 100-119,29,6,19,3,9,4,4,6,2,2,4,1,3,19,Conference Semifinals,L,100,119
5/6/2018,NO,W 118-92,32,8,17,4,9,3,3,1,2,0,0,1,2,23,Conference Semifinals,W,118,92
5/8/2018,NO,W 113-104,37,10,16,3,6,5,5,7,8,0,1,2,4,28,Conference Semifinals,W,113,104
5/14/2018,HOU,W 119-106,35,8,15,1,5,1,2,6,8,1,2,5,1,18,Conference Finals,W,119,106
5/16/2018,HOU,L 105-127,34,7,19,1,8,1,1,7,7,0,0,3,2,16,Conference Finals,L,105,127
5/20/2018,HOU,W 126-85,34,13,23,5,12,4,4,6,1,1,0,2,1,35,Conference Finals,W,126,85
5/22/2018,HOU,L 92-95,39,10,26,6,13,2,2,6,2,0,2,3,3,28,Conference Finals,L,92,95
5/24/2018,HOU,L 94-98,41,8,17,2,8,4,5,7,6,0,4,2,3,22,Conference Finals,L,94,98
5/26/2018,HOU,W 115-86,40,12,23,5,14,0,0,5,6,3,0,2,2,29,Conference Finals,W,115,86
5/28/2018,HOU,W 101-92,44,10,22,7,15,0,0,9,10,1,4,4,5,27,Conference Finals,W,101,92
5/31/2018,CLE,W 124-114,46,11,23,5,11,2,2,6,9,0,1,1,2,29,NBA Finals,W,124,114
6/3/2018,CLE,W 122-103,38,11,26,9,17,2,2,7,8,0,1,3,5,33,NBA Finals,W,122,103
6/6/2018,CLE,W 110-102,39,3,16,1,10,4,4,5,6,0,1,3,2,11,NBA Finals,W,110,102
6/8/2018,CLE,W 108-85,39,12,27,7,15,6,6,6,4,3,3,4,2,37,NBA Finals,W,108,85
9/29/2018,MIN,L 110-114,20,7,11,5,9,2,2,2,4,1,1,2,1,21,,L,110,114
10/5/2018,SAC,W 122-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,122,94
10/8/2018,PHX,L 109-117,24,8,14,3,8,4,4,0,4,0,1,3,5,23,,L,109,117
10/10/2018,LAL,L 113-123,26,6,11,2,3,9,9,3,5,0,2,3,5,23,,L,113,123
10/12/2018,LAL,L 105-119,12,5,10,4,7,2,2,3,4,1,1,0,0,16,,L,105,119
10/16/2018,OKC,W 108-100,37,11,20,5,9,5,5,8,9,0,1,4,3,32,REGULAR SEASON STATS,W,108,100
10/19/2018,UTAH,W 124-123,37,13,24,5,9,0,1,4,8,0,2,2,4,31,REGULAR SEASON STATS,W,124,123
10/21/2018,DEN,L 98-100,39,10,23,6,16,4,4,4,6,0,0,4,2,30,REGULAR SEASON STATS,L,98,100
10/22/2018,PHX,W 123-103,30,11,18,6,13,1,2,4,8,0,2,0,3,29,REGULAR SEASON STATS,W,123,103
10/24/2018,WSH,W 144-122,32,15,24,11,16,10,10,4,3,1,0,1,2,51,REGULAR SEASON STATS,W,144,122
10/26/2018,NY,W 128-100,33,10,18,6,11,3,3,4,2,0,1,2,3,29,REGULAR SEASON STATS,W,128,100
10/28/2018,BKN,W 120-114,36,11,26,7,15,6,7,7,3,0,1,1,2,35,REGULAR SEASON STATS,W,120,114
10/29/2018,CHI,W 149-124,25,7,9,2,4,7,7,8,5,1,3,3,1,23,REGULAR SEASON STATS,W,149,124
